2;6;2;2010;L;14.20;73.00;1024.00;11.00;1.00;15.00;0.00;0
3;6;2;2010;L;14.20;75.00;1021.00;11.00;2.00;17.00;0.00;0
4;6;2;2010;L;14.80;82.00;1013.00;11.00;2.00;17.00;0.18;0
5;6;2;2010;L;21.80;68.00;1020.00;22.00;2.00;37.00;0.00;0
6;6;2;2010;F;21.80;55.00;1020.00;18.00;3.00;32.00;0.00;0
7;6;2;2010;F;19.40;58.00;1021.00;13.00;3.00;23.00;0.18;0
1;7;2;2010;L;15.40;81.00;1008.00;10.00;1.00;15.00;0.00;3
2;7;2;2010;L;16.30;64.00;1004.00;26.00;4.00;41.00;0.00;0
3;7;2;2010;L;15.10;50.00;1006.00;28.00;4.00;47.00;0.03;0
4;7;2;2010;L;12.10;44.00;1010.00;32.00;7.00;50.00;0.00;0
5;7;2;2010;L;12.20;43.00;1011.00;28.00;5.00;43.00;0.00;0
1;9;2;2010;L;22.90;70.00;1004.00;27.00;2.00;39.00;0.00;0
2;9;2;2010;L;22.80;54.00;1009.00;27.00;4.00;47.00;0.00;0
3;9;2;2010;L;24.10;49.00;1013.00;21.00;4.00;34.00;0.00;0
4;9;2;2010;L;24.50;55.00;1012.00;26.00;4.00;37.00;0.00;0
5;9;2;2010;L;22.60;66.00;1010.00;10.00;1.00;18.00;0.00;2
6;9;2;2010;F;21.90;81.00;1009.00;17.00;1.00;24.00;0.00;1
7;9;2;2010;F;22.80;58.00;1009.00;26.00;3.00;39.00;0.03;3
1;10;3;2010;L;22.40;83.00;1018.00;17.00;1.00;24.00;0.00;2
2;10;3;2010;L;15.20;74.00;1018.00;22.00;3.00;32.00;1.80;2
3;10;3;2010;L;20.90;78.00;1006.00;17.00;3.00;26.00;0.53;1
4;10;3;2010;L;22.30;59.00;1012.00;13.00;2.00;18.00;0.00;0
5;10;3;2010;L;16.20;71.00;1014.00;27.00;4.00;38.00;0.05;0
6;10;3;2010;F;14.00;65.00;1014.00;28.00;6.00;43.00;0.15;0
7;10;3;2010;F;14.60;77.00;1011.00;19.00;3.00;30.00;0.10;0
1;11;3;2010;L;12.00;67.00;1005.00;27.00;4.00;41.00;0.03;0
2;11;3;2010;L;15.90;41.00;1008.00;23.00;5.00;38.00;0.00;0
3;11;3;2010;L;14.90;42.00;1013.00;27.00;6.00;43.00;0.00;1
4;11;3;2010;L;16.10;63.00;1013.00;17.00;3.00;26.00;0.00;0
5;11;3;2010;L;11.60;75.00;1019.00;13.00;2.00;21.00;0.38;0
6;11;3;2010;F;14.70;61.00;1022.00;13.00;2.00;24.00;0.00;2
7;11;3;2010;F;17.50;68.00;1023.00;17.00;2.00;24.00;0.00;1
1;12;3;2010;L;18.70;66.00;1024.00;15.00;2.00;23.00;0.00;2
2;12;3;2010;L;17.50;71.00;1025.00;15.00;2.00;26.00;0.00;1
3;12;3;2010;L;17.90;72.00;1027.00;21.00;3.00;32.00;0.00;0
4;12;3;2010;L;18.10;77.00;1027.00;11.00;2.00;18.00;0.00;0
5;12;3;2010;F;21.50;73.00;1024.00;11.00;2.00;17.00;0.56;0
6;12;3;2010;F;24.90;73.00;1021.00;18.00;3.00;32.00;0.03;0
7;12;3;2010;F;17.40;85.00;1020.00;15.00;2.00;19.00;0.43;0
1;13;3;2010;L;24.70;72.00;1018.00;15.00;2.00;24.00;0.03;0
2;13;3;2010;L;15.20;86.00;1018.00;15.00;2.00;24.00;0.00;2
3;13;3;2010;L;17.90;83.00;1012.00;15.00;2.00;24.00;0.00;0
4;13;3;2010;L;21.50;79.00;1011.00;18.00;2.00;26.00;0.00;2
5;13;3;2010;L;23.20;55.00;1020.00;19.00;3.00;32.00;0.00;5
6;13;3;2010;F;25.00;56.00;1022.00;19.00;3.00;28.00;2.90;2
7;13;3;2010;F;23.10;63.00;1020.00;16.00;3.00;24.00;0.00;0
1;14;3;2010;L;25.40;67.00;1014.00;30.00;3.00;45.00;0.00;2
2;14;3;2010;L;23.20;42.00;1013.00;27.00;5.00;43.00;0.00;3
3;14;3;2010;L;21.20;53.00;1015.00;17.00;3.00;26.00;0.00;2
